"scale","dfa","log10(scale)","log10(dfa)"
4,2.8344311598626097,0.6020599913279624,0.45246591369782896
5,3.2081147111661026,0.6989700043360189,0.5062498887691622
6,5.365435380786581,0.7781512503836436,0.7296049687626032
7,4.6781235180514615,0.8450980400142568,0.6700716844461952
8,6.698575052807517,0.9030899869919435,0.8259824276978738
9,5.80141822515151,0.9542425094393249,0.7635341749536108
10,6.3319200975069245,1,0.8015354258632843
11,7.149383349444806,1.041392685158225,0.8542685845307907
12,8.236823876934762,1.0791812460476249,0.9157597798245092
13,1.0150123003246967,1.1139433523068367,0.006471305235215184
15,1.0087513891337712,1.1760912590556813,0.003784145789820513
16,8.95947866595412,1.2041199826559248,0.9522827396747959
17,1.1051024575817059,1.2304489213782739,0.043402544717583535
19,4.718719719317325,1.2787536009528289,0.6738241820539334
21,1.5714744844401205,1.3222192947339193,0.19630733390159788
23,1.3965055325183249,1.3617278360175928,0.14504266057939408
